27 Apr 15:39:22,108 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:39:22,110 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:39:22,122 [main] INFO  TestBase  - BeforeTest
27 Apr 15:39:22,130 [main] INFO  TestBase  - BeforeClass
27 Apr 15:39:22,135 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:39:26,255 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:39:26,255 [main] INFO  TestBase  - URL selected: http://www.seleniumhq.org
27 Apr 15:39:55,625 [main] INFO  TestBase  - AfterMethod
27 Apr 15:39:55,625 [main] INFO  TestBase  - AfterClass
27 Apr 15:39:55,626 [main] INFO  TestBase  - BeforeClass
27 Apr 15:39:55,627 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:39:55,629 [main] INFO  TestBase  - AfterMethod
27 Apr 15:39:55,630 [main] INFO  TestBase  - AfterClass
27 Apr 15:39:55,630 [main] INFO  TestBase  - BeforeClass
27 Apr 15:39:55,630 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:39:55,632 [main] INFO  TestBase  - AfterMethod
27 Apr 15:39:55,632 [main] INFO  TestBase  - AfterClass
27 Apr 15:39:55,632 [main] INFO  TestBase  - AfterTest
27 Apr 15:39:55,654 [main] INFO  TestBase  - Browser closed
27 Apr 15:41:27,168 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:41:27,170 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:41:27,182 [main] INFO  TestBase  - BeforeTest
27 Apr 15:41:27,194 [pool-1-thread-1] INFO  TestBase  - BeforeClass
27 Apr 15:41:27,198 [pool-1-thread-1] INFO  TestBase  - BeforeMethod
27 Apr 15:41:27,204 [pool-1-thread-1] INFO  TestBase  - AfterMethod
27 Apr 15:41:27,205 [pool-1-thread-1] INFO  TestBase  - AfterClass
27 Apr 15:41:27,206 [main] INFO  TestBase  - AfterTest
27 Apr 15:41:27,223 [main] INFO  TestBase  - BeforeTest
27 Apr 15:41:27,224 [pool-2-thread-1] INFO  TestBase  - BeforeClass
27 Apr 15:41:27,225 [pool-2-thread-1] INFO  TestBase  - BeforeMethod
27 Apr 15:41:27,227 [pool-2-thread-1] INFO  TestBase  - AfterMethod
27 Apr 15:41:27,228 [pool-2-thread-1] INFO  TestBase  - AfterClass
27 Apr 15:41:27,231 [main] INFO  TestBase  - AfterTest
27 Apr 15:41:27,236 [main] INFO  TestBase  - BeforeTest
27 Apr 15:41:27,237 [pool-3-thread-1] INFO  TestBase  - BeforeClass
27 Apr 15:41:27,237 [pool-3-thread-1] INFO  TestBase  - BeforeMethod
